step,time,loss,lr
37,4.918671369552612,8.919285774230957,2.3125e-05
38,4.991870403289795,8.983138084411621,2.375e-05
39,5.074376106262207,8.917886734008789,2.4375000000000003e-05
40,5.161773681640625,8.856468200683594,2.5e-05
41,5.24455714225769,8.947602272033691,2.5625e-05
42,5.330138444900513,8.891727447509766,2.625e-05
43,5.4183995723724365,8.880844116210938,2.6875e-05
44,5.506024599075317,8.846893310546875,2.75e-05
45,5.589138507843018,8.833738327026367,2.8125000000000003e-05
46,5.684212684631348,8.738134384155273,2.875e-05
47,5.777428388595581,8.804064750671387,2.9375e-05
48,5.863749980926514,8.89529800415039,3e-05
49,5.941803932189941,8.929725646972656,3.0625e-05
50,6.045957803726196,8.676553726196289,3.125e-05
51,6.136837482452393,8.777958869934082,3.124992310737651e-05
52,6.230158805847168,8.779159545898438,3.124969243034691e-05
53,6.320351600646973,8.628053665161133,3.1249307971433856e-05
54,6.410956859588623,8.648338317871094,3.1248769734841726e-05
55,6.497218370437622,8.56440544128418,3.1248077726456595e-05
56,6.591438293457031,8.580849647521973,3.1247231953846146e-05
57,6.676741123199463,8.676015853881836,3.124623242625963e-05
58,6.766034126281738,8.482551574707031,3.1245079154627693e-05
59,6.842564105987549,8.616718292236328,3.124377215156235e-05
60,6.924460411071777,8.46531867980957,3.1242311431356774e-05
61,7.016660928726196,8.378079414367676,3.124069700998516e-05
62,7.105470180511475,8.422121047973633,3.123892890510257e-05
63,7.19892144203186,8.44643783569336,3.1237007136044704e-05
64,7.30589747428894,8.286572456359863,3.123493172382774e-05
65,7.406935453414917,8.424924850463867,3.1232702691148035e-05
66,7.540431261062622,8.38724136352539,3.123032006238194e-05
67,7.691045045852661,8.320446014404297,3.12277838635855e-05
68,7.815886735916138,8.139886856079102,3.122509412249419e-05
69,7.948394775390625,8.275266647338867,3.122225086852257e-05
70,8.049431800842285,8.263906478881836,3.1219254132764014e-05
71,8.164827108383179,8.20174789428711,3.121610394799035e-05
72,8.303636312484741,8.223177909851074,3.1212800348651494e-05
73,8.42103362083435,8.068086624145508,3.120934337087508e-05
74,8.52436876296997,8.086141586303711,3.1205733052466056e-05
75,8.627624034881592,8.111005783081055,3.1201969432906294e-05
76,8.69843339920044,8.02103042602539,3.1198052553354126e-05
77,8.776495456695557,8.183786392211914,3.119398245664393e-05
78,8.875011444091797,7.990129470825195,3.118975918728562e-05
79,8.967675924301147,7.958449363708496,3.118538279146419e-05
80,9.058410882949829,7.973696708679199,3.1180853317039224e-05
81,9.14025592803955,8.08481216430664,3.117617081354431e-05
82,9.22021746635437,7.89182186126709,3.117133533218656e-05
83,9.313077211380005,7.968357086181641,3.1166346925846035e-05
84,9.408753871917725,8.010954856872559,3.116120564907513e-05
85,9.484992980957031,7.962257385253906,3.1155911558098036e-05
86,9.56900143623352,8.009973526000977,3.115046471081008e-05
87,9.663681745529175,7.969696044921875,3.114486516677711e-05
88,9.745567083358765,7.775365352630615,3.1139112987234844e-05
89,9.839577198028564,7.8015265464782715,3.11332082350882e-05
90,9.935322761535645,7.864486217498779,3.112715097491059e-05
91,10.014384746551514,7.626233100891113,3.112094127294325e-05
92,10.120153903961182,7.783099174499512,3.111457919709448e-05
93,10.20356273651123,7.605632305145264,3.110806481693893e-05
94,10.29595422744751,7.7213616371154785,3.110139820371682e-05
95,10.367149829864502,7.694769859313965,3.109457943033315e-05
96,10.454828023910522,7.709287166595459,3.108760857135694e-05
97,10.5286545753479,7.540661811828613,3.108048570302039e-05
98,10.608529329299927,7.427589416503906,3.1073210903218045e-05
99,10.707042694091797,7.521827697753906,3.1065784251505955e-05
100,10.805192470550537,7.49143648147583,3.105820582910078e-05
101,10.889814615249634,7.363822937011719,3.1050475718878945e-05
102,10.969200611114502,7.340733528137207,3.1042594005375695e-05
103,11.054718971252441,7.272824287414551,3.103456077478419e-05
104,11.147481203079224,7.418469429016113,3.1026376114954534e-05
105,11.227318286895752,7.613680839538574,3.1018040115392873e-05
106,11.300018310546875,7.5112690925598145,3.100955286726036e-05
107,11.372020721435547,7.327335357666016,3.100091446337219e-05
108,11.467190265655518,7.669179439544678,3.099212499819654e-05
109,11.556941509246826,7.521953582763672,3.0983184567853606e-05
110,11.641464471817017,7.367983818054199,3.0974093270114504e-05
111,11.728460788726807,7.57309103012085,3.096485120440021e-05
112,11.809170484542847,7.319212913513184,3.095545847178047e-05
113,11.89587950706482,7.1247053146362305,3.0945915174972706e-05
114,11.998022079467773,7.278481483459473,3.093622141834088e-05
115,12.091656684875488,7.196771144866943,3.092637730789437e-05
116,12.177276134490967,7.142661094665527,3.091638295128677e-05
117,12.264601707458496,7.189657211303711,3.0906238457814785e-05
118,12.375336647033691,7.211465835571289,3.089594393841696e-05
119,12.46576714515686,7.352336883544922,3.088549950567251e-05
120,12.555879354476929,7.064322471618652,3.087490527380008e-05
121,12.63572645187378,7.256292819976807,3.086416135865649e-05
122,12.726685047149658,7.029111862182617,3.085326787773548e-05
123,12.82545804977417,7.1572771072387695,3.084222495016641e-05
124,12.906968116760254,6.992351531982422,3.083103269671296e-05
125,12.992861270904541,7.1623311042785645,3.081969123977183e-05
126,13.070251226425171,6.958646774291992,3.0808200703371376e-05
127,13.168450355529785,6.772006511688232,3.079656121317025e-05
128,13.247125387191772,7.127253532409668,3.078477289645607e-05
129,13.33247971534729,6.920361518859863,3.077283588214396e-05
130,13.419286251068115,6.988831520080566,3.0760750300775215e-05
131,13.498062133789062,6.964016437530518,3.07485162845158e-05
132,13.582674264907837,6.765254020690918,3.0736133967154974e-05
133,13.668083190917969,7.01503849029541,3.072360348410376e-05
134,13.745524406433105,7.010820388793945,3.071092497239352e-05
135,13.819737434387207,7.157156944274902,3.0698098570674426e-05
